[run2] 합성 예제 로그. 실제 학습 기록이 아니다.
epoch 001  loss=1.1534  train_acc=0.5550  val_acc=0.5250
epoch 002  loss=1.1091  train_acc=0.5624  val_acc=0.5324
epoch 003  loss=1.0647  train_acc=0.5712  val_acc=0.5412
epoch 004  loss=1.0206  train_acc=0.5747  val_acc=0.5447
epoch 005  loss=0.9776  train_acc=0.5909  val_acc=0.5609
epoch 006  loss=0.9365  train_acc=0.5889  val_acc=0.5589
epoch 007  loss=0.9015  train_acc=0.6017  val_acc=0.5717
epoch 008  loss=0.8689  train_acc=0.6160  val_acc=0.5860
epoch 009  loss=0.8333  train_acc=0.6295  val_acc=0.5995
epoch 010  loss=0.8031  train_acc=0.6264  val_acc=0.5964
epoch 011  loss=0.7680  train_acc=0.6408  val_acc=0.6108
epoch 012  loss=0.7400  train_acc=0.6482  val_acc=0.6182
epoch 013  loss=0.7127  train_acc=0.6522  val_acc=0.6222
epoch 014  loss=0.6851  train_acc=0.6573  val_acc=0.6273
epoch 015  loss=0.6570  train_acc=0.6676  val_acc=0.6376
epoch 016  loss=0.6298  train_acc=0.6760  val_acc=0.6460
epoch 017  loss=0.6071  train_acc=0.6794  val_acc=0.6494
epoch 018  loss=0.5805  train_acc=0.6891  val_acc=0.6591
epoch 019  loss=0.5610  train_acc=0.7025  val_acc=0.6725
epoch 020  loss=0.5350  train_acc=0.7167  val_acc=0.6867
epoch 021  loss=0.5166  train_acc=0.7244  val_acc=0.6944
epoch 022  loss=0.4948  train_acc=0.7307  val_acc=0.7007
epoch 023  loss=0.4735  train_acc=0.7267  val_acc=0.6967
epoch 024  loss=0.4575  train_acc=0.7487  val_acc=0.7187
epoch 025  loss=0.4369  train_acc=0.7576  val_acc=0.7276
epoch 026  loss=0.4156  train_acc=0.7542  val_acc=0.7242
epoch 027  loss=0.3951  train_acc=0.7594  val_acc=0.7294
epoch 028  loss=0.3766  train_acc=0.7783  val_acc=0.7483
epoch 029  loss=0.3599  train_acc=0.7758  val_acc=0.7458
epoch 030  loss=0.3430  train_acc=0.7862  val_acc=0.7562
epoch 031  loss=0.3322  train_acc=0.8001  val_acc=0.7701
epoch 032  loss=0.3157  train_acc=0.8097  val_acc=0.7797
epoch 033  loss=0.3034  train_acc=0.8130  val_acc=0.7830
epoch 034  loss=0.2915  train_acc=0.8250  val_acc=0.7950
epoch 035  loss=0.2822  train_acc=0.8301  val_acc=0.8001
epoch 036  loss=0.2720  train_acc=0.8373  val_acc=0.8073
epoch 037  loss=0.2622  train_acc=0.8438  val_acc=0.8138
epoch 038  loss=0.2510  train_acc=0.8543  val_acc=0.8243
epoch 039  loss=0.2427  train_acc=0.8576  val_acc=0.8276
epoch 040  loss=0.2364  train_acc=0.8698  val_acc=0.8398
epoch 041  loss=0.2298  train_acc=0.8818  val_acc=0.8518
epoch 042  loss=0.2243  train_acc=0.8896  val_acc=0.8596
epoch 043  loss=0.2147  train_acc=0.8921  val_acc=0.8621
epoch 044  loss=0.2070  train_acc=0.9071  val_acc=0.8771
epoch 045  loss=0.2014  train_acc=0.9026  val_acc=0.8726
epoch 046  loss=0.1898  train_acc=0.9102  val_acc=0.8802
epoch 047  loss=0.1789  train_acc=0.9171  val_acc=0.8871
epoch 048  loss=0.1678  train_acc=0.9290  val_acc=0.8990
epoch 049  loss=0.1580  train_acc=0.9457  val_acc=0.9157
epoch 050  loss=0.1526  train_acc=0.9593  val_acc=0.9293
epoch 051  loss=0.1502  train_acc=0.9629  val_acc=0.9329
epoch 052  loss=0.1478  train_acc=0.9566  val_acc=0.9266
epoch 053  loss=0.1397  train_acc=0.9825  val_acc=0.9525
epoch 054  loss=0.1339  train_acc=0.9761  val_acc=0.9461
epoch 055  loss=0.1306  train_acc=0.9885  val_acc=0.9585
epoch 056  loss=0.1257  train_acc=0.9900  val_acc=0.9600
epoch 057  loss=0.1186  train_acc=0.9900  val_acc=0.9600
epoch 058  loss=0.1147  train_acc=0.9900  val_acc=0.9600
epoch 059  loss=0.1140  train_acc=0.9900  val_acc=0.9600
epoch 060  loss=0.1129  train_acc=0.9900  val_acc=0.9600
done.
